ZIP CODE ,AREA NAME,IS LOS ANGELES,Early Childhood Education,Health Education,Substance Abuse Programs,Mental Health Programs,Adult Eduction Programs,Public Child Care,Housing Community Investment,Museum and Aquarium,Number Of Highschools,Number Of Students,Number Of Dropouts,Percent Drop Out,Health Clinics,Public Health Programs,Mental Health Centers,Safe Havens,Domestic Violence Services,Mental Health Counceling,LA City Events,Unemployment Rate,Teen Pregnancy Rate,Animal Parks,Aquatic,Fitness Center,Nature_Trails,Parks_Recreation,Senior_Centers,Property.Crime,Violent.Crime,Other,Property.Crime.STD,Violent.Crime.STD,Other.Crime.STD,Housing Permits,Commercial Permits,Other Permits
90028,Hollywood  ,1,0,0,0,0,0,0,0,0,0,0,0,,2,1,4,2,1,4,39,10.9,0,0,0,1,0,5,1,7986,3596,675,4.807664211,4.388964103,3.70675006,938,2496,368
90029,Downtown Los Angeles  ,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,84,10.2,0.049751244,0,0,1,0,3,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,1166,328,41
90030,Terminal Annex  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,10.2,0.049751244,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90031,Montecito Heights  ,1,0,0,0,0,0,0,0,0,3,5349,1787.16,0.334111049,2,1,4,1,0,1,112,9.9,0.009174312,0,2,1,0,17,3,2529,1300,363,1.192246889,1.309645153,1.779946927,1378,319,11
90032,El Sereno /Monterey Hills  ,1,0,0,0,0,1,0,0,0,14,19795,5966.73,0.301426118,0,0,2,2,0,1,4,12.6,0.011483254,0,2,2,3,11,1,0,0,0,-0.483287362,-0.433871674,-0.46181441,1950,209,24
90033,Boyle Heights  ,1,0,0,0,0,0,0,0,0,3,1791,71.75,0.040061418,5,2,16,2,3,7,43,9.6,0.031602709,0,3,3,0,20,1,385,252,74,-0.228213939,-0.095897643,-0.004816231,1066,789,80
90034,Palms  ,1,0,0,0,0,0,0,0,0,2,2103,429.99,0.20446505,0,0,2,3,0,2,4,6.3,0.006006006,0,0,0,0,1,0,1148,433,103,0.277295208,0.146853546,0.17427765,2856,628,60
90035,West Fairfax  ,1,7,4,2,2,2,0,0,1,0,0,0,,1,1,4,1,1,3,29,6.3,0.006666667,0,1,0,0,4,1,129,24,10,-0.397821203,-0.401683671,-0.400057899,2533,649,52
90036,Park La Brea  ,1,2,0,0,1,0,0,0,2,0,0,0,,1,0,1,2,0,1,42,6.4,0,0,1,1,0,6,1,810,210,46,0.053360618,-0.152226648,-0.177734461,2719,1432,156
90037,South Central  ,1,0,0,0,0,0,0,0,2,1,703,428.83,0.61,6,2,5,1,1,3,99,11.2,0.016260163,0,1,2,1,6,1,6132,4096,758,3.579336611,5.059547498,4.219329099,1916,438,108
90038,Hollywood  ,1,0,0,0,0,0,0,0,0,1,1808,867.84,0.48,1,1,5,0,0,1,25,9.7,0,0,0,1,0,4,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,1311,862,58
90039,Atwater Village  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,88,7.2,0,0,0,0,0,10,0,54,12,4,-0.44751083,-0.417777673,-0.437111806,2728,778,34
90041,Eagle Rock  ,1,0,0,0,0,0,0,0,0,5,2876,873.07,0.303570932,2,1,2,2,0,0,19,7.9,0.003439381,0,1,1,0,10,0,120,38,20,-0.403783958,-0.382907336,-0.338301389,1976,508,33
90042,Highland Park  ,1,0,0,0,0,0,0,0,0,1,0,771.59,,1,0,6,1,3,4,46,9.8,0.036850921,1,1,4,0,13,1,265,118,31,-0.307717344,-0.275613993,-0.270369227,3566,483,13
90043,Hyde Park /View Park/Windsor Hills ,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,2,1,2,3,114,14.6,0.022956841,0,0,1,0,8,0,548,351,80,-0.120221815,0.036877869,0.032237675,2155,306,14
90044,Athens ,1,4,1,1,0,3,4,1,0,2,178,0,0,1,0,6,1,2,3,46,11.7,0.054138322,0,1,3,0,10,0,3201,2229,400,1.637465954,2.555589101,2.008446017,2674,321,22
90045,LAX Area /Westchester  ,1,1,3,0,0,2,2,0,0,1,620,0,0,1,2,5,4,1,3,89,7.4,0.004912908,0,1,0,0,5,1,3058,567,197,1.542724397,0.326569896,0.75478885,3230,4991,157
90046,Mount Olympus  ,1,1,0,1,0,1,0,0,0,0,0,0,,1,1,3,3,1,0,40,7.7,0.011764706,2,0,1,1,5,1,1897,488,128,0.773528958,0.220617719,0.328668927,3729,539,72
90047,South Central  ,1,1,1,0,1,1,0,0,0,1,1553,683.32,0.44,0,0,1,2,0,3,57,14.6,0.020983213,0,1,1,0,8,0,298,158,34,-0.285853908,-0.221967321,-0.251842274,1944,354,11
90048,West Beverly  ,1,0,0,0,0,0,0,0,0,0,0,0,,3,0,1,1,1,2,0,6.9,0,0,0,0,0,1,0,3407,1244,306,1.773946799,1.234539813,1.427934816,2067,1641,125
90049,Bel Air Estates /Brentwood  ,1,0,0,0,0,0,0,0,2,1,960,460.8,0.48,0,0,0,2,1,2,8,5.8,0,1,0,0,0,8,0,1002,189,61,0.180566066,-0.180391151,-0.085099695,6099,652,59
90050,Los Angeles ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90051,Los Angeles ,1,4,2,1,1,5,5,0,0,0,0,0,,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90052,Los Angeles ,1,8,2,1,0,5,1,0,0,0,0,0,,0,0,1,0,0,1,0,5.8,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90053,Los Angeles ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90054,Los Angeles ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90055,Los Angeles ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90056,Ladera Heights  ,1,0,1,0,0,0,0,0,0,0,0,0,,0,1,1,1,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,87,1,0
90057,Westlake  ,1,1,1,0,0,0,0,0,0,4,2345,384.33,0.16389339,3,4,7,1,1,5,1,9.8,0.026153846,0,1,1,0,10,0,254,198,23,-0.315005156,-0.16832065,-0.319774435,537,371,35
