ZIP CODE ,AREA NAME,IS LOS ANGELES,Early Childhood Education,Health Education,Substance Abuse Programs,Mental Health Programs,Adult Eduction Programs,Public Child Care,Housing Community Investment,Museum and Aquarium,Number Of Highschools,Number Of Students,Number Of Dropouts,Percent Drop Out,Health Clinics,Public Health Programs,Mental Health Centers,Safe Havens,Domestic Violence Services,Mental Health Counceling,LA City Events,Unemployment Rate,Teen Pregnancy Rate,Animal Parks,Aquatic,Fitness Center,Nature_Trails,Parks_Recreation,Senior_Centers,Property.Crime,Violent.Crime,Other,Property.Crime.STD,Violent.Crime.STD,Other.Crime.STD,Housing Permits,Commercial Permits,Other Permits
90733,San Pedro  ,1,9,1,2,1,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90744,Wilmington  ,1,0,0,0,0,0,0,0,1,0,0,0,,2,2,0,2,1,0,71,8.5,0.033775118,0,2,2,0,12,1,947,446,142,0.144127005,0.164288714,0.415128042,1491,596,38
90748,Wilmington  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91003,Altadena ,1,4,3,1,3,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0.020986359,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91040,Shadow Hills /Sunland  ,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,7.6,0,0,0,0,0,5,1,278,82,31,-0.299104475,-0.323895997,-0.270369227,1661,145,8
91041,Sunland  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91042,Tujunga  ,1,2,1,1,0,1,0,0,1,0,0,0,,0,0,0,1,0,0,49,9.1,0,0,1,0,0,5,0,581,218,72,-0.098358379,-0.141497314,-0.017167533,1917,174,23
91043,Tujunga  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91303,Canoga Park  ,1,0,0,0,0,0,0,0,0,1,1434,659.64,0.46,2,1,2,1,1,2,18,6.7,0.006587615,0,0,0,0,1,1,0,0,0,-0.483287362,-0.433871674,-0.46181441,759,718,99
91304,Canoga Park  ,1,0,0,0,0,0,0,0,0,3,1712,75.24,0.043948598,0,0,3,1,0,1,0,6.9,0,0,1,0,1,10,0,186,69,10,-0.360057085,-0.341331166,-0.400057899,2569,446,28
91305,Canoga Park  ,1,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,1,0,0
91306,Winnetka  ,1,0,0,0,0,0,0,0,0,3,1900,642.14,0.337968421,0,0,1,1,0,0,0,8.3,0,0,0,0,0,5,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,2961,178,23
91307,West Hills  ,1,3,1,1,2,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,7.9,0,0,0,0,0,12,0,226,75,21,-0.33355595,-0.333284165,-0.332125738,2000,240,23
91311,Chatsworth  ,1,0,0,0,0,0,0,0,0,9,3808,2254.86,0.592137605,0,0,3,3,1,1,7,6.2,0,0,0,0,1,11,0,7853,2582,692,4.719547938,3.029020978,3.811736128,2273,1210,79
91316,Encino  ,1,0,0,0,0,0,0,0,0,7,2111,1646.73,0.780071056,1,0,0,0,0,0,1,10.5,0,0,0,1,1,13,0,339,79,21,-0.258690245,-0.327919498,-0.332125738,2519,268,29
91324,Northridge  ,1,1,0,0,0,1,0,0,0,3,3488,1054.02,0.302184633,1,1,3,2,0,3,1,5.9,0.045362903,0,1,0,0,5,1,0,0,0,-0.483287362,-0.433871674,-0.46181441,1671,1061,112
91325,Northridge  ,1,18,0,5,1,1,1,0,0,4,1152,823.28,0.714652778,0,0,2,0,0,1,9,6.9,0,0,0,0,0,0,0,198,75,32,-0.352106745,-0.333284165,-0.264193576,2040,433,48
91326,Porter Ranch  ,1,0,0,0,0,0,0,0,0,1,557,339.77,0.61,0,0,1,2,0,0,1,6.1,0,1,0,1,2,11,0,218,35,19,-0.338856177,-0.386930836,-0.34447704,3134,299,35
91330,"Northridge , California State University ",1,4,1,0,0,2,2,0,0,0,0,0,,0,0,0,0,0,0,0,34.3,0,0,0,0,0,2,0,251,78,22,-0.316992741,-0.329260664,-0.325950086,1,9,0
91330,"Northridge , California State University ",1,7,0,0,0,4,2,0,0,0,0,0,,0,0,0,0,0,0,0,34.3,0,0,0,0,0,2,0,251,78,22,-0.316992741,-0.329260664,-0.325950086,1,9,0
91331,Arleta /Pacoima  ,1,2,4,4,2,0,2,2,0,3,6393,1230.83,0.192527765,2,0,8,2,1,5,55,11.8,0.024669379,0,2,2,0,15,0,419,214,53,-0.205687975,-0.146861981,-0.134504903,5059,613,48
91331,Arleta /Pacoima  ,1,1,2,2,2,1,1,0,0,3,6393,1230.83,0.192527765,2,0,8,2,1,5,55,11.8,0.024669379,0,2,2,0,15,0,419,214,53,-0.205687975,-0.146861981,-0.134504903,5059,613,48
91335,Reseda  ,1,0,0,0,0,0,0,0,0,1,3278,0,0,1,0,4,1,1,2,43,7.1,0.020816327,0,3,0,0,4,0,731,264,73,0.001020877,-0.079803642,-0.010991882,3726,466,43
91342,Lake View Terrace /Sylmar  ,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,12,2,0,1,68,7.9,0.020507285,2,3,1,2,12,0,1357,472,177,0.415763638,0.199159051,0.631275829,4123,740,43
91343,North Hills  ,1,4,1,3,0,4,2,0,0,0,0,0,,2,1,8,0,1,2,46,9.2,0.023722628,0,0,0,0,1,0,9599,4053,1166,5.876322474,5.001877326,6.738994734,2983,291,33
91344,Granada Hills  ,1,5,1,1,1,0,2,0,0,1,4480,0,0,0,0,7,2,1,0,52,7.6,0,0,1,0,1,6,0,630,171,59,-0.065894488,-0.204532153,-0.097450997,3966,316,40
91345,Mission Hills  ,1,0,0,0,0,0,0,0,0,0,0,0,,2,2,3,2,0,3,2,9.9,0,0,0,0,1,3,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,1024,275,18
91352,Sun Valley  ,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,2,0,1,53,9.5,0.00295858,0,2,0,0,13,0,1223,430,129,0.326984836,0.142830046,0.334844578,2290,815,33
91356,Tarzana  ,1,3,3,0,0,0,2,0,0,1,162,0,0,0,0,2,2,0,2,10,6.5,0,0,0,0,0,4,0,1455,424,153,0.480691418,0.134783045,0.483060203,2663,432,35
91364,Woodland Hills  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,2,1,0,2,25,7.3,0,0,0,0,0,1,0,200,45,13,-0.350781688,-0.373519169,-0.381530946,2765,475,42
91367,Woodland Hills  ,1,1,0,0,0,0,0,0,0,0,0,0,,2,2,1,1,0,0,14,7,0,0,1,0,0,5,0,735,188,51,0.003670991,-0.181732318,-0.146856206,3250,2387,278
91401,Van Nuys  ,1,0,0,0,0,0,0,0,0,1,2594,856.02,0.33,1,2,5,2,2,7,63,8.3,0.046296296,0,0,0,0,0,1,1496,741,232,0.507855081,0.559932917,0.970936638,2549,318,28
91402,Panorama City  ,1,2,1,0,0,3,0,0,0,2,2777,791.74,0.28510623,0,0,2,3,0,1,36,11.2,0.032622334,0,1,0,0,9,2,31,8,3,-0.462748983,-0.42314234,-0.443287457,2269,677,60
91403,Sherman Oaks /Van Nuys  ,1,1,0,1,0,3,0,0,0,0,0,0,,1,1,1,2,0,2,0,10,0,0,0,0,0,2,0,831,227,71,0.067273714,-0.129426813,-0.023343184,2309,679,44
91404,Van Nuys  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91405,Van Nuys  ,1,0,0,0,0,0,0,0,0,4,2562,707.72,0.276237315,2,3,12,1,2,4,3,10.7,0.021399653,0,0,0,0,8,0,126,53,15,-0.399808788,-0.362789834,-0.369179644,2490,504,55
91406,Van Nuys  ,1,0,0,0,0,0,0,0,0,1,957,612.48,0.64,0,2,4,2,0,3,6,9,0.015321155,1,0,0,1,4,0,441,122,56,-0.191112351,-0.270249326,-0.11597795,3088,892,55
91407,Van Nuys  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9,0.015321155,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91408,Van Nuys  ,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9,0.015321155,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91409,Van Nuys  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9,0.015321155,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91411,Van Nuys  ,1,0,0,0,0,0,0,0,0,1,582,0,0,1,0,8,0,0,1,1,11.2,0,0,0,0,0,3,0,876,347,121,0.097087491,0.031513202,0.285439369,1281,437,33
91412,Panorama City  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91413,Sherman Oaks  ,1,11,1,2,2,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91423,Sherman Oaks /Van Nuys  ,1,0,0,0,0,0,0,0,0,1,871,243.88,0.28,0,0,0,0,1,1,30,8.2,0,0,1,1,1,4,1,528,76,33,-0.133472382,-0.331942998,-0.258017925,3022,750,64
91436,Encino  ,1,0,1,1,0,0,0,0,0,0,0,0,,0,2,1,1,0,2,1,5,0,0,0,1,0,8,0,134,18,7,-0.394508561,-0.409730672,-0.418584852,2519,725,20
91507,Burbank ,1,2,1,1,2,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91508,Burbank ,1,1,1,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91521,Burbank ,1,7,2,4,2,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91522,Burbank ,1,4,1,5,1,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,17,2,1,-0.47202438,-0.431189341,-0.455638759,0,0,0
91523,Burbank ,1,13,0,8,1,1,7,2,0,0,0,0,,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91601,North Hollywood  ,1,4,1,6,6,1,2,0,0,0,0,0,,0,0,0,1,0,1,43,9.5,0.025139665,1,1,2,1,7,2,1826,659,161,0.726489444,0.449957241,0.532465412,2070,889,59
91602,North Hollywood /Toluca Lake  ,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,0,1,9.5,0,0,0,1,0,3,0,742,157,54,0.008308689,-0.223308488,-0.128329252,1819,264,14
91603,North Hollywood  ,1,7,3,7,2,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
91604,North Hollywood /Studio City  ,1,13,1,1,0,0,0,0,0,3,2633,662.73,0.251701481,0,0,0,1,0,2,58,10.1,0,0,0,2,0,7,0,804,134,54,0.049385448,-0.254155324,-0.128329252,3594,588,70
91605,North Hollywood ,1,0,0,0,0,0,0,0,0,4,1522,324.72,0.213350854,1,1,0,1,0,2,14,10,0.038906414,0,0,0,0,6,0,1679,589,155,0.629097773,0.356075565,0.495411505,2391,708,41
91606,North Hollywood ,1,3,2,2,0,0,2,0,0,6,2248,818.03,0.363892349,1,0,8,0,2,3,2,9.8,0.031372549,0,1,1,0,9,0,962,336,112,0.154064931,0.016760367,0.22985851,2244,353,62
91607,North Hollywood /Valley Village  ,1,1,0,2,1,3,0,0,0,0,0,0,,0,0,0,0,0,2,0,10.9,0,0,0,0,0,0,0,868,258,95,0.091787264,-0.087850642,0.124872441,2232,243,27
91609,North Hollywood  ,1,8,0,2,4,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
