,Row.names,Health,Community.Wellness,ZIP.CODES,AREA.NAME,IS.LOS.ANGELES,Early.Childhood.Education,Health.Education,Substance.Abuse.Programs,Mental.Health.Programs,Adult.Eduction.Programs,Public.Child.Care,Housing.Community.Investment,Museum.and.Aquarium,Number.Of.Highschools,Number.Of.Students,Number.Of.Dropouts,Percent.Drop.Out,Health.Clinics,Public.Health.Programs,Mental.Health.Centers,Safe.Havens,Domestic.Violence.Services,Mental.Health.Counceling,LA.City.Events,Unemployment.Rate,Teen.Pregnancy.Rate,Animal.Parks,Aquatic,Fitness.Center,Nature_Trails,Parks_Recreation,Senior_Centers,Property.Crime,Violent.Crime,Other,Property.Crime.STD,Violent.Crime.STD,Other.Crime.STD,Housing.Permits,Commercial.Permits,Other.Permits
22,29,-1.261498692,-0.100547834,90293,Playa del Rey  ,1,2,0,0,0,0,0,0,0,2,2177,757.72,0.348056959,0,0,0,0,0,0,1,7,0,0,0,0,0,3,0,1104,254,65,0.24814396,-0.093215309,-0.060397091,844,202,7
23,3,0.595459625,0.030964388,90011,South Central  ,1,0,1,0,0,2,0,0,1,4,901,0,0,1,1,7,2,0,8,291,8.7,0.024243639,0,2,6,0,24,1,475,347,42,-0.168586386,0.031513202,-0.202437065,2607,562,20
24,30,-0.373243143,-0.172782226,90710,Harbor City  ,1,0,0,0,0,0,0,0,0,6,2590,713.41,0.275447876,2,0,1,2,0,0,0,9.8,0.042412818,0,1,0,0,4,0,1235,506,174,0.334935176,0.244758722,0.612748876,600,289,44
25,31,1.451038314,-0.138936639,90731,San Pedro /Terminal Island  ,1,12,1,7,5,1,4,0,1,1,542,0,0,3,2,4,6,1,6,42,11.2,0.017250392,0,1,2,1,16,1,1647,748,252,0.607896865,0.569321085,1.094449659,2618,856,49
26,32,0.238074952,-0.055896872,91303,Canoga Park  ,1,0,0,0,0,0,0,0,0,1,1434,659.64,0.46,2,1,2,1,1,2,18,6.7,0.006587615,0,0,0,0,1,1,0,0,0,-0.483287362,-0.433871674,-0.46181441,759,718,99
27,33,-0.977641947,0.113546128,91304,Canoga Park  ,1,0,0,0,0,0,0,0,0,3,1712,75.24,0.043948598,0,0,3,1,0,1,0,6.9,0,0,1,0,1,10,0,186,69,10,-0.360057085,-0.341331166,-0.400057899,2569,446,28
28,34,-1.167717976,0.077044472,91306,Winnetka  ,1,0,0,0,0,0,0,0,0,3,1900,642.14,0.337968421,0,0,1,1,0,0,0,8.3,0,0,0,0,0,5,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,2961,178,23
29,35,-1.147708245,-0.506115786,91311,Chatsworth  ,1,0,0,0,0,0,0,0,0,9,3808,2254.86,0.592137605,0,0,3,3,1,1,7,6.2,0,0,0,0,1,11,0,7853,2582,692,4.719547938,3.029020978,3.811736128,2273,1210,79
30,36,-0.831710983,-0.106859339,91316,Encino  ,1,0,0,0,0,0,0,0,0,7,2111,1646.73,0.780071056,1,0,0,0,0,0,1,10.5,0,0,0,1,1,13,0,339,79,21,-0.258690245,-0.327919498,-0.332125738,2519,268,29
31,37,-0.085950181,-0.156180635,91324,Northridge  ,1,1,0,0,0,1,0,0,0,3,3488,1054.02,0.302184633,1,1,3,2,0,3,1,5.9,0.045362903,0,1,0,0,5,1,0,0,0,-0.483287362,-0.433871674,-0.46181441,1671,1061,112
